f1:1,f1:2,f1:3,f1:0,f2:1,f2:2,f2:3,f2:0,f3:1,f3:2,f3:3,f3:0,f4:1,f4:2,f4:0,f5:1,f5:2,f5:0,f6:1,f6:2,f6:0,res
0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
